ResponseId,Age,EdLevel,Country
15803,18-24 years old,Secondary School,Brazil
15804,25-34 years old,Bachelor’s Degree,Japan
15805,25-34 years old,Secondary School,Australia
15806,25-34 years old,Master’s Degree,Iran
15807,25-34 years old,Master’s Degree,France
15808,35-44 years old,Master’s Degree,Poland
15809,18-24 years old,Bachelor’s Degree,Pakistan
15810,35-44 years old,Uncompleted Studies,Germany
15811,25-34 years old,Bachelor’s Degree,India
15812,25-34 years old,Professional Degree,France
15813,25-34 years old,Bachelor’s Degree,Canada
15814,25-34 years old,Bachelor’s Degree,Switzerland
15815,25-34 years old,Master’s Degree,Denmark
15816,25-34 years old,Bachelor’s Degree,Brazil
15817,25-34 years old,Bachelor’s Degree,Netherlands
15818,25-34 years old,Bachelor’s Degree,South Africa
15819,18-24 years old,Uncompleted Studies,USA
15820,18-24 years old,Bachelor’s Degree,Italy
15821,25-34 years old,Master’s Degree,Germany
15822,45-54 years old,Master’s Degree,Germany
15823,18-24 years old,Bachelor’s Degree,India
15824,35-44 years old,Uncompleted Studies,Austria
15825,35-44 years old,Bachelor’s Degree,Serbia
15826,45-54 years old,Uncompleted Studies,Germany
15827,25-34 years old,Bachelor’s Degree,Germany
15828,25-34 years old,Bachelor’s Degree,Lithuania
15829,18-24 years old,Secondary School,India
15830,35-44 years old,Bachelor’s Degree,Russian Federation
15831,25-34 years old,Secondary School,Italy
15832,18-24 years old,Bachelor’s Degree,Slovenia
15833,35-44 years old,Secondary School,Germany
15834,25-34 years old,Professional Degree,Germany
15835,25-34 years old,Uncompleted Studies,Netherlands
15836,Under 18 years old,Secondary School,Italy
15837,Under 18 years old,Primary School,USA
15839,25-34 years old,Secondary School,Poland
15840,35-44 years old,Professional Degree,Russian Federation
15841,25-34 years old,Master’s Degree,Croatia
15842,35-44 years old,Master’s Degree,Lithuania
15843,35-44 years old,Bachelor’s Degree,United Kingdom
15844,25-34 years old,Bachelor’s Degree,USA
15845,18-24 years old,Secondary School,Germany
15846,18-24 years old,Secondary School,Viet Nam
15847,45-54 years old,Master’s Degree,Australia
15848,18-24 years old,Master’s Degree,France
15849,18-24 years old,Bachelor’s Degree,Ukraine
15850,35-44 years old,Master’s Degree,Poland
15851,25-34 years old,Master’s Degree,Germany
15852,18-24 years old,Master’s Degree,France
15853,35-44 years old,Master’s Degree,Israel
15854,25-34 years old,Uncompleted Studies,Netherlands
15855,18-24 years old,Bachelor’s Degree,Pakistan
15856,18-24 years old,Secondary School,Slovakia
15857,35-44 years old,Bachelor’s Degree,Australia
15858,18-24 years old,Bachelor’s Degree,Ukraine
15859,35-44 years old,Bachelor’s Degree,Montenegro
15860,Under 18 years old,Primary School,Czech Republic
15861,18-24 years old,Master’s Degree,France
15862,18-24 years old,Primary School,Israel
15863,18-24 years old,Primary School,Czech Republic
15864,25-34 years old,Associate Degree,USA
15865,25-34 years old,Uncompleted Studies,Argentina
15866,45-54 years old,Associate Degree,Denmark
15867,25-34 years old,Professional Degree,Angola
15868,18-24 years old,Bachelor’s Degree,Ukraine
15869,35-44 years old,Uncompleted Studies,Lithuania
15870,25-34 years old,Uncompleted Studies,Poland
15871,18-24 years old,Bachelor’s Degree,India
15872,18-24 years old,Primary School,Nigeria
15873,35-44 years old,Bachelor’s Degree,Iran
15874,35-44 years old,Bachelor’s Degree,Germany
15875,25-34 years old,Bachelor’s Degree,Germany
15876,35-44 years old,Master’s Degree,Italy
15877,25-34 years old,Bachelor’s Degree,Czech Republic
15878,25-34 years old,Bachelor’s Degree,Switzerland
15879,35-44 years old,Master’s Degree,Sweden
15880,35-44 years old,Bachelor’s Degree,Brazil
15881,25-34 years old,Uncompleted Studies,Italy
15882,25-34 years old,Master’s Degree,Greece
15883,35-44 years old,Associate Degree,Canada
15884,25-34 years old,Uncompleted Studies,Australia
15885,25-34 years old,Bachelor’s Degree,Canada
15886,25-34 years old,Uncompleted Studies,Ukraine
15887,25-34 years old,Bachelor’s Degree,Ghana
15888,45-54 years old,Master’s Degree,Ukraine
15889,18-24 years old,Bachelor’s Degree,India
15890,35-44 years old,Uncompleted Studies,Austria
15891,35-44 years old,Associate Degree,Colombia
15892,25-34 years old,Bachelor’s Degree,Brazil
15893,25-34 years old,Master’s Degree,Netherlands
15894,18-24 years old,Bachelor’s Degree,Germany
15895,25-34 years old,Master’s Degree,Israel
15896,25-34 years old,Bachelor’s Degree,India
15897,25-34 years old,Bachelor’s Degree,Canada
15898,25-34 years old,Master’s Degree,Spain
15899,25-34 years old,Master’s Degree,Israel
15900,18-24 years old,Secondary School,Germany
15901,25-34 years old,Bachelor’s Degree,India
15902,25-34 years old,Bachelor’s Degree,Romania
15903,18-24 years old,Master’s Degree,Ukraine
15904,35-44 years old,Master’s Degree,Austria
15905,Under 18 years old,Primary School,United Kingdom
15906,18-24 years old,Bachelor’s Degree,Uruguay
15907,35-44 years old,Master’s Degree,India
15908,18-24 years old,Bachelor’s Degree,France
15909,18-24 years old,Uncompleted Studies,Austria
15910,25-34 years old,Bachelor’s Degree,Netherlands
15911,35-44 years old,Bachelor’s Degree,USA
15912,25-34 years old,Bachelor’s Degree,Spain
15913,25-34 years old,Bachelor’s Degree,Poland
15914,18-24 years old,Bachelor’s Degree,Brazil
15915,18-24 years old,Bachelor’s Degree,Portugal
15916,18-24 years old,Uncompleted Studies,China
15917,Under 18 years old,Primary School,Germany
15918,45-54 years old,Professional Degree,Israel
15919,25-34 years old,Bachelor’s Degree,Pakistan
15920,18-24 years old,Uncompleted Studies,France
15921,35-44 years old,Bachelor’s Degree,Spain
15922,25-34 years old,Bachelor’s Degree,Austria
15923,35-44 years old,Bachelor’s Degree,Egypt
15924,45-54 years old,Master’s Degree,South Africa
15925,18-24 years old,Secondary School,Syrian Arab Republic
15926,18-24 years old,Master’s Degree,France
15927,25-34 years old,Master’s Degree,Spain
15928,18-24 years old,Master’s Degree,France
15929,25-34 years old,Master’s Degree,Ukraine
15930,35-44 years old,Bachelor’s Degree,Australia
15931,35-44 years old,Bachelor’s Degree,USA
15932,25-34 years old,Master’s Degree,Germany
15933,25-34 years old,Secondary School,Italy
15934,18-24 years old,Uncompleted Studies,France
15935,25-34 years old,Master’s Degree,France
15936,25-34 years old,Master’s Degree,Latvia
15937,25-34 years old,Master’s Degree,India
15938,45-54 years old,Bachelor’s Degree,Italy
15939,25-34 years old,Uncompleted Studies,Poland
15940,25-34 years old,Master’s Degree,Portugal
15941,18-24 years old,Bachelor’s Degree,India
15942,25-34 years old,Master’s Degree,France
15943,45-54 years old,Professional Degree,Germany
15944,35-44 years old,Master’s Degree,Sweden
15945,Prefer not to say,Primary School,Germany
15946,25-34 years old,Bachelor’s Degree,Canada
15947,45-54 years old,Master’s Degree,Ukraine
15948,25-34 years old,Master’s Degree,Poland
15949,45-54 years old,Bachelor’s Degree,USA
15950,Under 18 years old,Primary School,Egypt
15951,35-44 years old,Professional Degree,Italy
15952,18-24 years old,Uncompleted Studies,Brazil
15953,35-44 years old,Master’s Degree,Netherlands
15954,25-34 years old,Master’s Degree,France
15955,25-34 years old,Other,Cyprus
15956,35-44 years old,Bachelor’s Degree,Cameroon
15957,25-34 years old,Bachelor’s Degree,United Kingdom
15958,35-44 years old,Uncompleted Studies,Malaysia
15959,25-34 years old,Master’s Degree,Ukraine
15960,25-34 years old,Master’s Degree,Ukraine
15961,35-44 years old,Master’s Degree,Algeria
15962,35-44 years old,Bachelor’s Degree,Russian Federation
15963,18-24 years old,Uncompleted Studies,Italy
15964,25-34 years old,Bachelor’s Degree,Sweden
15965,45-54 years old,Professional Degree,Brazil
15966,25-34 years old,Bachelor’s Degree,India
15967,25-34 years old,Uncompleted Studies,Canada
15968,18-24 years old,Bachelor’s Degree,India
15969,25-34 years old,Uncompleted Studies,Bolivia
15970,35-44 years old,Bachelor’s Degree,Germany
15971,25-34 years old,Master’s Degree,Germany
15972,18-24 years old,Secondary School,Austria
15973,35-44 years old,Master’s Degree,Canada
15974,25-34 years old,Bachelor’s Degree,India
15975,25-34 years old,Bachelor’s Degree,USA
15976,25-34 years old,Master’s Degree,Sweden
15977,35-44 years old,Bachelor’s Degree,Romania
15978,Under 18 years old,Primary School,Germany
15979,35-44 years old,Uncompleted Studies,USA
15980,25-34 years old,Secondary School,Germany
15981,35-44 years old,Master’s Degree,Germany
15982,35-44 years old,Bachelor’s Degree,United Kingdom
15983,35-44 years old,Master’s Degree,Brazil
15984,25-34 years old,Bachelor’s Degree,Brazil
15985,25-34 years old,Uncompleted Studies,Brazil
15986,25-34 years old,Bachelor’s Degree,Switzerland
15987,25-34 years old,Bachelor’s Degree,Canada
15988,25-34 years old,Master’s Degree,Germany
15989,35-44 years old,Bachelor’s Degree,Brazil
15990,45-54 years old,Uncompleted Studies,Canada
15991,45-54 years old,Bachelor’s Degree,Netherlands
15992,25-34 years old,Master’s Degree,France
15993,25-34 years old,Master’s Degree,Netherlands
15994,25-34 years old,Bachelor’s Degree,Russian Federation
15995,25-34 years old,Uncompleted Studies,Brazil
15997,18-24 years old,Bachelor’s Degree,Brazil
15998,35-44 years old,Uncompleted Studies,Canada
15999,18-24 years old,Associate Degree,Pakistan
16000,18-24 years old,Associate Degree,Venezuela
16001,25-34 years old,Bachelor’s Degree,USA
16002,Under 18 years old,Secondary School,Poland
16003,35-44 years old,Uncompleted Studies,Ukraine
16004,25-34 years old,Master’s Degree,India
16005,Under 18 years old,Secondary School,United Kingdom
16006,25-34 years old,Master’s Degree,Germany
16007,35-44 years old,Secondary School,Czech Republic
16008,35-44 years old,Uncompleted Studies,USA
16009,18-24 years old,Bachelor’s Degree,India
16010,35-44 years old,Bachelor’s Degree,USA
16011,25-34 years old,Bachelor’s Degree,Indonesia
16012,25-34 years old,Master’s Degree,France
16013,25-34 years old,Bachelor’s Degree,Switzerland
16014,35-44 years old,Master’s Degree,Austria
16015,45-54 years old,Master’s Degree,USA
16016,18-24 years old,Uncompleted Studies,Poland
16017,18-24 years old,Associate Degree,France
16018,35-44 years old,Associate Degree,United Kingdom
16019,35-44 years old,Bachelor’s Degree,Netherlands
16020,35-44 years old,Bachelor’s Degree,Ukraine
16021,25-34 years old,Bachelor’s Degree,Romania
16022,Under 18 years old,Primary School,Israel
16023,35-44 years old,Master’s Degree,India
16024,45-54 years old,Master’s Degree,Belgium
16025,25-34 years old,Bachelor’s Degree,USA
16026,25-34 years old,Bachelor’s Degree,Peru
16027,Under 18 years old,Secondary School,Egypt
16028,25-34 years old,Master’s Degree,India
16029,35-44 years old,Bachelor’s Degree,China
16030,35-44 years old,Secondary School,Ireland
16031,18-24 years old,Uncompleted Studies,USA
16032,25-34 years old,Bachelor’s Degree,Germany
16033,35-44 years old,Bachelor’s Degree,USA
16034,18-24 years old,Secondary School,Botswana
16035,18-24 years old,Secondary School,Norway
16036,25-34 years old,Master’s Degree,France
16037,18-24 years old,Uncompleted Studies,Cuba
16038,25-34 years old,Bachelor’s Degree,Italy
16039,35-44 years old,Bachelor’s Degree,India
16040,25-34 years old,Bachelor’s Degree,South Africa
16041,25-34 years old,Master’s Degree,France
16042,25-34 years old,Professional Degree,Germany
16043,45-54 years old,Master’s Degree,United Kingdom
16044,18-24 years old,Bachelor’s Degree,Ukraine
16045,25-34 years old,Master’s Degree,Croatia
16046,18-24 years old,Bachelor’s Degree,India
16047,25-34 years old,Uncompleted Studies,Guatemala
16048,18-24 years old,Bachelor’s Degree,Russian Federation
16049,18-24 years old,Bachelor’s Degree,Armenia
16050,25-34 years old,Master’s Degree,Portugal
16051,25-34 years old,Bachelor’s Degree,Sweden
16052,Under 18 years old,Secondary School,South Africa
16053,18-24 years old,Bachelor’s Degree,USA
16054,25-34 years old,Bachelor’s Degree,India
16055,25-34 years old,Master’s Degree,Italy
16056,35-44 years old,Bachelor’s Degree,Portugal
16057,25-34 years old,Uncompleted Studies,Netherlands
16058,18-24 years old,Bachelor’s Degree,Mexico
16059,65 years or older,Master’s Degree,Belize
16060,45-54 years old,Bachelor’s Degree,Canada
16061,35-44 years old,Professional Degree,Finland
16062,18-24 years old,Secondary School,Netherlands
16063,18-24 years old,Uncompleted Studies,Poland
16064,25-34 years old,Master’s Degree,Sweden
16065,25-34 years old,Master’s Degree,France
16066,35-44 years old,Bachelor’s Degree,Canada
16067,25-34 years old,Master’s Degree,Ukraine
16068,25-34 years old,Uncompleted Studies,Poland
16069,25-34 years old,Master’s Degree,Ukraine
16070,Under 18 years old,Secondary School,Italy
16071,25-34 years old,Master’s Degree,Germany
16072,35-44 years old,Uncompleted Studies,Poland
16073,25-34 years old,Master’s Degree,France
16074,18-24 years old,Bachelor’s Degree,Sweden
16075,Under 18 years old,Secondary School,United Kingdom
16076,65 years or older,Master’s Degree,USA
16077,25-34 years old,Bachelor’s Degree,Sri Lanka
16078,45-54 years old,Secondary School,Italy
16079,25-34 years old,Master’s Degree,Canada
16080,25-34 years old,Bachelor’s Degree,Brazil
16081,45-54 years old,Master’s Degree,France
16082,18-24 years old,Secondary School,India
16083,18-24 years old,Master’s Degree,Ukraine
16084,35-44 years old,Bachelor’s Degree,Argentina
16085,35-44 years old,Master’s Degree,France
16086,18-24 years old,Bachelor’s Degree,Canada
16087,25-34 years old,Master’s Degree,Spain
16088,25-34 years old,Secondary School,Nigeria
16089,18-24 years old,Bachelor’s Degree,Netherlands
16090,25-34 years old,Bachelor’s Degree,India
16091,35-44 years old,Bachelor’s Degree,United Kingdom
16092,55-64 years old,Secondary School,Germany
16093,45-54 years old,Bachelor’s Degree,Brazil
16094,25-34 years old,Associate Degree,Ukraine
16095,18-24 years old,Bachelor’s Degree,USA
16096,45-54 years old,Master’s Degree,Portugal
16097,18-24 years old,Bachelor’s Degree,Canada
16098,25-34 years old,Bachelor’s Degree,USA
16099,Under 18 years old,Primary School,USA
16100,18-24 years old,Bachelor’s Degree,Romania
16101,18-24 years old,Bachelor’s Degree,Ukraine
16102,35-44 years old,Uncompleted Studies,United Kingdom
16103,18-24 years old,Bachelor’s Degree,India
16104,18-24 years old,Associate Degree,Portugal
16105,18-24 years old,Associate Degree,Myanmar
16106,18-24 years old,Uncompleted Studies,Poland
16107,18-24 years old,Uncompleted Studies,Ukraine
16108,18-24 years old,Bachelor’s Degree,France
16109,25-34 years old,Bachelor’s Degree,USA
16110,18-24 years old,Bachelor’s Degree,Ukraine
16111,25-34 years old,Bachelor’s Degree,Peru
16112,55-64 years old,Master’s Degree,USA
16113,25-34 years old,Bachelor’s Degree,Brazil
16114,18-24 years old,Other,Spain
16115,18-24 years old,Secondary School,Ukraine
16116,25-34 years old,Uncompleted Studies,Portugal
16117,18-24 years old,Bachelor’s Degree,Cyprus
16118,25-34 years old,Uncompleted Studies,USA
16119,18-24 years old,Uncompleted Studies,Guatemala
16120,18-24 years old,Master’s Degree,Ukraine
16121,18-24 years old,Secondary School,Ukraine
16122,35-44 years old,Uncompleted Studies,Spain
16123,35-44 years old,Bachelor’s Degree,Ukraine
16124,18-24 years old,Uncompleted Studies,Ukraine
16125,35-44 years old,Associate Degree,Chile
16126,18-24 years old,Master’s Degree,Pakistan
16127,25-34 years old,Bachelor’s Degree,Canada
16128,45-54 years old,Master’s Degree,Germany
16129,35-44 years old,Associate Degree,Sweden
16130,Under 18 years old,Other,Canada
16131,55-64 years old,Bachelor’s Degree,India
16132,25-34 years old,Bachelor’s Degree,Ukraine
16133,Under 18 years old,Associate Degree,Iran
16134,18-24 years old,Bachelor’s Degree,USA
16135,25-34 years old,Bachelor’s Degree,Ukraine
16136,25-34 years old,Master’s Degree,Ukraine
16137,18-24 years old,Bachelor’s Degree,Mexico
16138,Under 18 years old,Secondary School,Ukraine
16139,45-54 years old,Master’s Degree,India
16140,45-54 years old,Master’s Degree,Germany
16141,18-24 years old,Uncompleted Studies,Chile
16142,Under 18 years old,Secondary School,Spain
16144,18-24 years old,Uncompleted Studies,Ecuador
16145,18-24 years old,Bachelor’s Degree,Ukraine
16146,25-34 years old,Associate Degree,Ukraine
16147,35-44 years old,Master’s Degree,Denmark
16148,25-34 years old,Secondary School,Brazil
16149,35-44 years old,Master’s Degree,India
16150,18-24 years old,Bachelor’s Degree,India
16151,25-34 years old,Master’s Degree,Ukraine
16152,18-24 years old,Bachelor’s Degree,India
16153,25-34 years old,Associate Degree,Spain
16154,35-44 years old,Master’s Degree,Ukraine
16155,55-64 years old,Professional Degree,Mexico
16156,45-54 years old,Bachelor’s Degree,United Kingdom
16157,35-44 years old,Bachelor’s Degree,Ukraine
16158,35-44 years old,Uncompleted Studies,Kuwait
16159,35-44 years old,Master’s Degree,Ukraine
16160,45-54 years old,Master’s Degree,India
16161,25-34 years old,Bachelor’s Degree,Ukraine
16162,35-44 years old,Uncompleted Studies,Colombia
16163,25-34 years old,Bachelor’s Degree,Ukraine
16164,35-44 years old,Primary School,Russian Federation
16165,35-44 years old,Uncompleted Studies,Spain
16166,25-34 years old,Bachelor’s Degree,Mexico
16167,45-54 years old,Uncompleted Studies,Ireland
16168,18-24 years old,Master’s Degree,Ukraine
16169,35-44 years old,Master’s Degree,Ukraine
16170,25-34 years old,Master’s Degree,Ukraine
16171,18-24 years old,Bachelor’s Degree,Ukraine
16172,18-24 years old,Bachelor’s Degree,Peru
16173,18-24 years old,Uncompleted Studies,Uruguay
16174,25-34 years old,Bachelor’s Degree,USA
16175,18-24 years old,Bachelor’s Degree,Ukraine
16176,25-34 years old,Bachelor’s Degree,Brazil
16177,25-34 years old,Master’s Degree,Spain
16178,18-24 years old,Bachelor’s Degree,Ukraine
16179,25-34 years old,Secondary School,Italy
16180,35-44 years old,Master’s Degree,USA
16181,25-34 years old,Associate Degree,Argentina
16182,25-34 years old,Master’s Degree,USA
16183,35-44 years old,Professional Degree,Ukraine
16184,25-34 years old,Bachelor’s Degree,Germany
16185,Under 18 years old,Secondary School,Ukraine
16186,35-44 years old,Master’s Degree,Ukraine
16187,25-34 years old,Bachelor’s Degree,Sri Lanka
16188,25-34 years old,Master’s Degree,Ukraine
16189,25-34 years old,Master’s Degree,Ukraine
16190,18-24 years old,Uncompleted Studies,USA
16191,Under 18 years old,Uncompleted Studies,France
16192,25-34 years old,Other,Austria
16193,55-64 years old,Uncompleted Studies,Germany
16194,25-34 years old,Uncompleted Studies,Ukraine
16195,35-44 years old,Master’s Degree,Argentina
16196,35-44 years old,Master’s Degree,Spain
16197,35-44 years old,Master’s Degree,Portugal
16198,35-44 years old,Bachelor’s Degree,USA
16199,25-34 years old,Bachelor’s Degree,Nepal
16200,18-24 years old,Uncompleted Studies,Ukraine
16201,25-34 years old,Bachelor’s Degree,Ukraine
16202,18-24 years old,Uncompleted Studies,Ukraine
16203,25-34 years old,Bachelor’s Degree,Ukraine
16204,35-44 years old,Bachelor’s Degree,Colombia
16205,25-34 years old,Associate Degree,Spain
16206,18-24 years old,Bachelor’s Degree,Ukraine
16207,25-34 years old,Master’s Degree,Ukraine
16208,18-24 years old,Master’s Degree,Ukraine
16209,18-24 years old,Master’s Degree,Germany
16210,Under 18 years old,Primary School,Ukraine
16211,18-24 years old,Bachelor’s Degree,Germany
16212,25-34 years old,Master’s Degree,Ukraine
16213,45-54 years old,Master’s Degree,United Kingdom
16214,Under 18 years old,Associate Degree,Mexico
16215,25-34 years old,Bachelor’s Degree,India
16216,25-34 years old,Professional Degree,Germany
16217,35-44 years old,Master’s Degree,Brazil
16218,Under 18 years old,Primary School,Ukraine
16219,25-34 years old,Associate Degree,Ukraine
16220,25-34 years old,Master’s Degree,Ukraine
16221,Under 18 years old,Primary School,USA
16222,25-34 years old,Bachelor’s Degree,Brazil
16223,25-34 years old,Master’s Degree,Ukraine
16224,25-34 years old,Master’s Degree,Argentina
16225,35-44 years old,Bachelor’s Degree,Germany
16226,35-44 years old,Bachelor’s Degree,Germany
16227,35-44 years old,Associate Degree,USA
16228,Under 18 years old,Primary School,Ukraine
16229,25-34 years old,Uncompleted Studies,Ukraine
16230,25-34 years old,Bachelor’s Degree,Ukraine
16231,18-24 years old,Secondary School,Ukraine
16232,18-24 years old,Bachelor’s Degree,Colombia
16233,18-24 years old,Master’s Degree,Ukraine
16234,25-34 years old,Bachelor’s Degree,Ukraine
16235,18-24 years old,Bachelor’s Degree,Brazil
16236,25-34 years old,Master’s Degree,Ukraine
16237,18-24 years old,Secondary School,Poland
16238,25-34 years old,Bachelor’s Degree,Germany
16239,Under 18 years old,Primary School,Ireland
16240,35-44 years old,Uncompleted Studies,Saudi Arabia
16241,18-24 years old,Bachelor’s Degree,Israel
16242,25-34 years old,Master’s Degree,Poland
16243,45-54 years old,Master’s Degree,USA
16244,Prefer not to say,Primary School,Ukraine
16245,Under 18 years old,Other,Poland
16246,25-34 years old,Bachelor’s Degree,USA
16247,18-24 years old,Associate Degree,Iran
16248,18-24 years old,Master’s Degree,Ukraine
16249,18-24 years old,Secondary School,Germany
16250,55-64 years old,Uncompleted Studies,Argentina
16251,18-24 years old,Uncompleted Studies,USA
16252,25-34 years old,Bachelor’s Degree,Netherlands
16253,35-44 years old,Bachelor’s Degree,Netherlands
16255,25-34 years old,Bachelor’s Degree,Ukraine
16256,25-34 years old,Bachelor’s Degree,Ukraine
16257,25-34 years old,Master’s Degree,Iran
16258,35-44 years old,Master’s Degree,Ukraine
16259,45-54 years old,Uncompleted Studies,Canada
16260,35-44 years old,Bachelor’s Degree,Sweden
16261,25-34 years old,Master’s Degree,Ukraine
16262,25-34 years old,Master’s Degree,Ukraine
16263,18-24 years old,Secondary School,Ukraine
16264,18-24 years old,Uncompleted Studies,India
16265,35-44 years old,Secondary School,USA
16266,35-44 years old,Bachelor’s Degree,India
16267,18-24 years old,Primary School,Denmark
16268,25-34 years old,Bachelor’s Degree,Ukraine
16269,25-34 years old,Bachelor’s Degree,Brazil
16270,25-34 years old,Bachelor’s Degree,Ukraine
16271,45-54 years old,Master’s Degree,Austria
16272,45-54 years old,Master’s Degree,Austria
16273,35-44 years old,Master’s Degree,Israel
16274,25-34 years old,Bachelor’s Degree,Ukraine
16275,45-54 years old,Bachelor’s Degree,Russian Federation
16276,25-34 years old,Master’s Degree,Ukraine
16277,25-34 years old,Master’s Degree,Ukraine
16278,25-34 years old,Professional Degree,Venezuela
16279,18-24 years old,Secondary School,Ukraine
16280,25-34 years old,Master’s Degree,Uruguay
16281,25-34 years old,Master’s Degree,France
16282,18-24 years old,Bachelor’s Degree,Germany
16283,25-34 years old,Bachelor’s Degree,Brazil
16284,25-34 years old,Master’s Degree,Poland
16285,25-34 years old,Master’s Degree,Ukraine
16286,25-34 years old,Bachelor’s Degree,Ireland
16287,25-34 years old,Master’s Degree,Czech Republic
16288,35-44 years old,Master’s Degree,Ukraine
16289,18-24 years old,Uncompleted Studies,Ukraine
16290,35-44 years old,Bachelor’s Degree,USA
16291,45-54 years old,Bachelor’s Degree,Ukraine
16292,25-34 years old,Professional Degree,Ukraine
16293,25-34 years old,Uncompleted Studies,New Zealand
16294,25-34 years old,Master’s Degree,Croatia
16295,35-44 years old,Master’s Degree,Ukraine
16296,25-34 years old,Bachelor’s Degree,Germany
16297,18-24 years old,Secondary School,Israel
16298,35-44 years old,Bachelor’s Degree,Germany
16299,18-24 years old,Bachelor’s Degree,France
16300,35-44 years old,Bachelor’s Degree,Poland
16301,25-34 years old,Uncompleted Studies,Argentina
16302,25-34 years old,Master’s Degree,Poland
16303,55-64 years old,Bachelor’s Degree,India
16304,25-34 years old,Master’s Degree,Ukraine
16305,18-24 years old,Uncompleted Studies,Ukraine
16306,35-44 years old,Uncompleted Studies,USA
16307,25-34 years old,Professional Degree,Ukraine
16308,18-24 years old,Secondary School,India
16309,65 years or older,Uncompleted Studies,USA
16310,18-24 years old,Uncompleted Studies,Ukraine
16311,18-24 years old,Uncompleted Studies,Uganda
16312,25-34 years old,Master’s Degree,Albania
16313,25-34 years old,Master’s Degree,Germany
16314,18-24 years old,Bachelor’s Degree,Canada
16315,35-44 years old,Bachelor’s Degree,Ukraine
16316,25-34 years old,Master’s Degree,Ukraine
16317,35-44 years old,Master’s Degree,France
16318,25-34 years old,Bachelor’s Degree,Ukraine
16319,25-34 years old,Master’s Degree,Italy
16320,35-44 years old,Master’s Degree,Germany
16321,35-44 years old,Uncompleted Studies,Argentina
16322,25-34 years old,Master’s Degree,Germany
16323,35-44 years old,Master’s Degree,Germany
16324,25-34 years old,Bachelor’s Degree,Poland
16325,18-24 years old,Bachelor’s Degree,France
16326,35-44 years old,Uncompleted Studies,Germany
16327,25-34 years old,Uncompleted Studies,Colombia
16328,25-34 years old,Bachelor’s Degree,Ukraine
16329,18-24 years old,Secondary School,Ukraine
16330,35-44 years old,Bachelor’s Degree,Portugal
16331,35-44 years old,Bachelor’s Degree,Ukraine
16332,18-24 years old,Master’s Degree,Ukraine
16333,25-34 years old,Master’s Degree,Ukraine
16334,Under 18 years old,Primary School,USA
16335,35-44 years old,Uncompleted Studies,Ukraine
16336,35-44 years old,Master’s Degree,Ukraine
16337,45-54 years old,Professional Degree,Czech Republic
16338,35-44 years old,Bachelor’s Degree,Sri Lanka
16339,35-44 years old,Master’s Degree,Germany
16340,35-44 years old,Bachelor’s Degree,Spain
16341,25-34 years old,Bachelor’s Degree,Ukraine
16342,25-34 years old,Bachelor’s Degree,Bulgaria
16343,25-34 years old,Professional Degree,Ukraine
16344,25-34 years old,Bachelor’s Degree,Ukraine
16345,18-24 years old,Associate Degree,Spain
16346,18-24 years old,Bachelor’s Degree,Ukraine
16347,25-34 years old,Bachelor’s Degree,Ukraine
16348,35-44 years old,Uncompleted Studies,United Kingdom
16349,25-34 years old,Bachelor’s Degree,Brazil
16350,25-34 years old,Bachelor’s Degree,Portugal
16352,25-34 years old,Uncompleted Studies,Germany
16353,25-34 years old,Master’s Degree,Ukraine
16354,25-34 years old,Secondary School,Canada
16355,25-34 years old,Master’s Degree,Ukraine
16356,25-34 years old,Master’s Degree,Ukraine
16357,25-34 years old,Master’s Degree,Iran
16358,18-24 years old,Secondary School,India
16359,18-24 years old,Bachelor’s Degree,Ukraine
16360,18-24 years old,Bachelor’s Degree,Chile
16361,25-34 years old,Associate Degree,Brazil
16362,35-44 years old,Master’s Degree,Ukraine
16363,35-44 years old,Master’s Degree,Ukraine
16364,18-24 years old,Bachelor’s Degree,Ukraine
16365,25-34 years old,Bachelor’s Degree,New Zealand
16366,35-44 years old,Bachelor’s Degree,Italy
16367,35-44 years old,Professional Degree,Germany
16368,25-34 years old,Master’s Degree,Ukraine
16369,25-34 years old,Master’s Degree,Ukraine
16370,35-44 years old,Master’s Degree,Germany
16371,25-34 years old,Other,Sweden
16372,25-34 years old,Bachelor’s Degree,Nigeria
16373,18-24 years old,Master’s Degree,Ukraine
16374,25-34 years old,Master’s Degree,Brazil
16375,25-34 years old,Other,USA
16376,25-34 years old,Bachelor’s Degree,Germany
16377,18-24 years old,Bachelor’s Degree,India
16378,55-64 years old,Master’s Degree,Sweden
16379,18-24 years old,Secondary School,USA
16380,25-34 years old,Master’s Degree,Ukraine
16381,25-34 years old,Uncompleted Studies,Ukraine
16382,25-34 years old,Master’s Degree,Ukraine
16383,35-44 years old,Master’s Degree,Germany
16384,25-34 years old,Associate Degree,France
16385,25-34 years old,Uncompleted Studies,Ukraine
16386,25-34 years old,Bachelor’s Degree,Canada
16387,25-34 years old,Bachelor’s Degree,Brazil
16388,35-44 years old,Bachelor’s Degree,Colombia
16389,25-34 years old,Bachelor’s Degree,Ukraine
16390,18-24 years old,Secondary School,Ukraine
16391,25-34 years old,Master’s Degree,Ukraine
16392,25-34 years old,Master’s Degree,Ukraine
16393,35-44 years old,Bachelor’s Degree,Kazakhstan
16394,25-34 years old,Secondary School,Germany
16395,45-54 years old,Uncompleted Studies,Canada
16396,25-34 years old,Bachelor’s Degree,India
16397,35-44 years old,Bachelor’s Degree,USA
16398,45-54 years old,Secondary School,Spain
